location,People_Vaccinated,Population,Vaccination_Rate
Eswatini,526050,1201680,43.78%
Suriname,267820,618046,43.33%
Nigeria,93829435,218541216,42.93%
Jordan,4821579,11285875,42.72%
Bahamas,174810,409989,42.64%
Ethiopia,52489512,123379928,42.54%
Uganda,20033189,47249588,42.40%
Romania,8188137,19659270,41.65%
Ghana,13864186,33475870,41.42%
Armenia,1150915,2780472,41.39%
Ukraine,16267198,39701744,40.97%
North Macedonia,854570,2093606,40.82%
South Africa,24210953,59893884,40.42%
South Sudan,4315127,10913172,39.54%
Zimbabwe,6437808,16320539,39.45%
Palestine,2012767,5250076,38.34%
Djibouti,421573,1120851,37.61%
Saint Vincent and the Grenadines,37532,103959,36.10%
Guinea-Bissau,747057,2105580,35.48%
Grenada,44241,125459,35.26%
Libya,2316327,6812344,34.00%
Moldova,1109524,3272993,33.90%
Saint Lucia,60140,179872,33.43%
Sudan,15207452,46874200,32.44%
Bulgaria,2155863,6781955,31.79%
Jamaica,859773,2827382,30.41%
Bosnia and Herzegovina,943394,3233530,29.18%
Chad,5147667,17723312,29.04%
Benin,3697190,13352864,27.69%
Burkina Faso,6089089,22673764,26.86%
Kenya,14494372,54027484,26.83%
Malawi,5433538,20405318,26.63%
Kyrgyzstan,1736541,6630621,26.19%
Togo,2255579,8848700,25.49%
Iraq,11332925,44496124,25.47%
Gambia,674314,2705995,24.92%
Namibia,629767,2567024,24.53%
Niger,6248483,26207982,23.84%
Mali,4354292,22593598,19.27%
Algeria,7840131,44903228,17.46%
Democratic Republic of Congo,17045721,99010216,17.22%
Equatorial Guinea,270109,1674916,16.13%
Senegal,2684696,17316452,15.50%
Syria,3295630,22125242,14.90%
Cameroon,3753733,27914542,13.45%
Gabon,311244,2388997,13.03%
Congo,695760,5970430,11.65%
Madagascar,2710365,29611718,9.15%
Haiti,521396,11585003,4.50%
Papua New Guinea,382020,10142625,3.77%
Yemen,1050202,33696612,3.12%
Burundi,36909,12889583,0.29%
Micronesia (country),NULL,114178,NULL
United States Virgin Islands,NULL,99479,NULL
Vatican,NULL,808,NULL
Northern Mariana Islands,NULL,49574,NULL
Saint Pierre and Miquelon,NULL,5885,NULL
Puerto Rico,NULL,3252412,NULL
Guam,NULL,171783,NULL
North Korea,NULL,26069416,NULL
Western Sahara,NULL,576005,NULL
Guadeloupe,NULL,395762,NULL
Saint Martin (French part),NULL,31816,NULL
Mayotte,NULL,326113,NULL
American Samoa,NULL,44295,NULL
Saint Barthelemy,NULL,10994,NULL
Martinique,NULL,367512,NULL
Marshall Islands,NULL,41593,NULL
French Guiana,NULL,304568,NULL
Reunion,NULL,974062,NULL
Palau,NULL,18084,NULL
